Label,Date
George Washington,02/22/1732
John Adams,10/30/1735
Thomas Jefferson,04/13/1743
James Madison,03/16/1751
James Monroe,04/28/1758
John Quincy Adams,07/11/1767
Andrew Jackson,03/15/1767
Martin Van Buren,12/05/1782
William Henry Harrison,02/09/1773
John Tyler,03/29/1790
James K. Polk,11/02/1795
Zachary Taylor,11/24/1784
Millard Fillmore,01/07/1800
Franklin Pierce,11/23/1804
James Buchanan,04/23/1791
Abraham Lincoln,02/12/1809
Andrew Johnson,12/29/1808
Ulysses S. Grant,04/27/1822
Rutherford B. Hayes,10/04/1822
James A. Garfield,11/19/1831
Chester A. Arthur,10/05/1829
Grover Cleveland,03/18/1837
Benjamin Harrison,08/20/1833
William McKinley,01/29/1843
Theodore Roosevelt,10/27/1858
William Howard Taft,09/15/1857
Woodrow Wilson,12/28/1856
Warren G. Harding,11/02/1865
Calvin Coolidge,07/04/1872
Herbert Hoover,08/10/1874
Franklin D. Roosevelt,01/30/1882
Harry S. Truman,05/08/1884
Dwight D. Eisenhower,10/14/1890
John F. Kennedy,05/29/1917
Lyndon B. Johnson,08/27/1908
Richard Nixon,01/09/1913
Gerald Ford,07/14/1913
Jimmy Carter,10/01/1924
Ronald Reagan,02/06/1911
George H. W. Bush,06/12/1924
Bill Clinton,08/19/1946
George W. Bush,07/06/1946
Barack Obama,08/04/1961
Donald Trump,06/14/1946
Joe Biden,11/20/1942
